News,Date
Citi revises Safaricom stock recommendation from Buy to Neutral,"APRIL 19, 2019"
Safaricom fixed data subscribers more than double in 12 months,"APRIL 1, 2019"
Safaricom looks to data analytics to grow its revenues,"MARCH 29, 2019"
Safaricom to recruit 300 interns for its new Eldoret Call Center,"MARCH 14, 2019"
Safaricom Partners With AliExpress to Enable M-PESA Payments for Shoppers,"MARCH 12, 2019"
Opinion: Why Facebook’s New Cryptocurrency Is a threat to Mpesa and Safaricom,"SEPTEMBER 29, 2020"
Safaricom Says Cashless System Boosting Revenue Collection In Counties By Up to 30%,"MARCH 6, 2019"
Safaricom’s Senior Executives set for Investor Roadshow to Singapore and Hong Kong,"FEBRUARY 15, 2019"
Rose Ogega Appointed to Board of Safaricom,"FEBRUARY 15, 2019"
Safaricom to Replace Manual M-Pesa Transaction Books with Digital Registers to Enhance Information Privacy,"FEBRUARY 1, 2019"
Safaricom Introduces IT Security Solutions For Enterprise Customers,"JANUARY 21, 2019"
It is a Buy for Safaricom – CITI,"JANUARY 15, 2019"
Safaricom and CBA Group Launch FULIZA Feature to boost M Pesa Transactions,"JANUARY 9, 2019"
Safaricom says Its Working with CBK and CA to address MPesa Outages,"DECEMBER 10, 2018"
Safaricom’s Launch of 5G Network Underway,"DECEMBER 10, 2018"
Safaricom to Launch its M-Pesa Services in Ethiopia,"NOVEMBER 22, 2018"
Important Guidelines to Note While Using Safaricom’s Sambaza and Okoa Jahazi products,"NOVEMBER 22, 2018"
Enhanced Integration System For Safaricom’s Lipa Na Mpesa Users,"NOVEMBER 15, 2018"
Safaricom Partners With Jubilee Insurance To Offer Home Insurance,"NOVEMBER 13, 2018"
"Safaricom, Western Union Partner In Global Money Transfer","NOVEMBER 7, 2018"
Management Shakeup at Safaricom with New Roles Created,"NOVEMBER 6, 2018"
Mpesa Growth Pushes Safaricom Earnings by 20% to Sh 31.5Bn,"NOVEMBER 2, 2018"
Safaricom Contribution To Kenyan GDP Stands At 6.5% – Report,"OCTOBER 30, 2018"
Safaricom To Allow Customer Reactivate Unused Expired Data,"OCTOBER 26, 2018"
Safaricom To Pass Tax Burden To Data Above Sh 100,"OCTOBER 22, 2018"
"Safaricom Increases SMS, Voice & Data Prices Amid Shrinking Market Share","OCTOBER 19, 2018"
Citi Issues Safaricom Neutral Rating After it was Recently De-Rated,"OCTOBER 4, 2018"
New Tax Measures Won’t Affect Safaricom’s Performance – Citi,"SEPTEMBER 25, 2018"
Safaricom reviews its data tariff,"SEPTEMBER 17, 2018"
Safaricom says its open to sharing its infrastructure with competitors,"SEPTEMBER 10, 2018"
Safaricom to Introduce New Measures to Address SIM Swap Fraud,"AUGUST 31, 2018"
How Safaricom built an unrivalled communication network & digital ecosystem,"AUGUST 28, 2018"
Safaricom emerges 19th in FORTUNE’s ‘Change the world List’,"AUGUST 23, 2018"
How did Safaricom become Kenya’s most successful Telco?,"AUGUST 20, 2018"
Safaricom & WorldRemit partner to further boost remittances,"AUGUST 16, 2018"
Safaricom Shareholders to Vote Using Mobile Phones at the upcoming AGM,"AUGUST 15, 2018"
Safaricom to introduce finger print biometrics to curb sim card fraud,"AUGUST 13, 2018"
Kenya’s Competition Regulator Disapproves Safaricom Dominance Claims,"AUGUST 9, 2018"
Safaricom CEO Bob Collymore Resumes Work After 9 Month Medical Leave,"AUGUST 6, 2018"
"Safaricom’s Market Share Declines by 2.1%, Airtel Gains 2.5%","AUGUST 6, 2018"
Safaricom Unveils new network base station in Coast & Fibre to home internet services,"JULY 27, 2018"
Safaricom Disapproves Budget Proposal to Increase Mobile Money Transfer Excise Duty,"JUNE 20, 2018"
Safaricom in Trouble as New CA Report Proposes Sharing of Mobile Money Agents Network,"MAY 30, 2018"
Safaricom transforming lives through affordable financial solutions & services.,"MAY 28, 2018"
Safaricom Foundation Launches New 3-Year Strategy,"MAY 18, 2018"
Safaricom FY2018 Results analysis,"MAY 18, 2018"
Safaricom Sets Pace in Telecom Sector with Jitambulishe Voice Biometrics System,"MAY 15, 2018"
Safaricom Purchases Software from US Firm to Control Revenue Leakages,"MAY 15, 2018"
Safaricom beats expectations as profit soars 20% to Sh 55Bn,"MAY 10, 2018"
Safaricom Set to Launch Messaging App Linked to M-Pesa,"MAY 7, 2018"
Safaricom Stock downgraded again ahead of Full Year Results in May,"APRIL 19, 2018"
Airtel Gained 1.2 Million subscribers during NASA’s boycott call on Safaricom products,"APRIL 12, 2018"
"Safaricom is The Best Company to Work for in 2018, Brighter Monday Reports","APRIL 11, 2018"
Citi issues Sell recommendation on Safaricom citing disconnect betw expectations & valuation,"APRIL 12, 2018"
Safaricom’s marketing Director Sylvia Mulinge Lands MD Job at Vodacom Tanzania,"APRIL 10, 2018"
Telkom & Airtel Turn to Merger Talks to Take on Safaricom,"APRIL 11, 2018"
Safaricom Challenges Equity’s PayPal Service Through New M-Pesa Based Partnership,"APRIL 9, 2018"
"Safaricom, Airtel & Telkom Set to Launch Mobile Money Interoperability in Kenya","APRIL 9, 2018"
Sitoyo Lopokoiyit back to Safaricom as Director Financial Services,"MARCH 5, 2018"
Safaricom Announces Change of name to PLC Status,"FEBRUARY 28, 2018"
Safaricom launches a Music Streaming App,"FEBRUARY 13, 2018"
"Safaricom rally continues, touches new all time high of Sh 29.75","JANUARY 19, 2018"
Safaricom Backed Taxi App ‘Little’ Seeks Sh 10B in Funding for regional expansion,"JANUARY 4, 2018"
Safaricom introduces voice detection passwords in its call centres,"DECEMBER 13, 2017"
Safaricom Opens five new regional outlets,"DECEMBER 1, 2017"
Safaricom Stock Touches All Time High Despite NASA Boycott Call,"NOVEMBER 21, 2017"
Safaricom HY 2018 Results,"NOVEMBER 6, 2017"
Safaricom CFO Assures investors CEO’s Absence won’t affect Operations,"NOVEMBER 1, 2017"
"Tuskys, Safaricom & Citizen TV Feted at 2017 World Branding Awards","OCTOBER 15, 2017"
Safaricom kicks off fibre to home regional roll out plan,"OCTOBER 15, 2017"
"The Hub Karen, Safaricom introduce ‘Pay your parking on the go’","OCTOBER 5, 2017"
Safaricom’s Total Impact On Economy Up 17 Percent,"OCTOBER 5, 2017"
Safaricom Extends M-PESA 1Tap to Four Major Towns,"OCTOBER 4, 2017"
Safaricom Increases Market Share by 0.7% to 72.6%,"OCTOBER 2, 2017"
Safaricom CEO Bob Collymore Named Africa Investor CEO of the Year,"SEPTEMBER 21, 2017"
Interview with Safaricom CFO Sateesh Kamath,"SEPTEMBER 19, 2017"
Safaricom to Hire Additional 300 employees for Customer care,"SEPTEMBER 18, 2017"
Safaricom backed taxi hailing app Little is launching in Nigeria,"SEPTEMBER 11, 2017"
Safaricom’s Sh 100 Million VC Fund Makes Final Investment in Agri-Tech Startup Iprocure,"SEPTEMBER 7, 2017"
Safaricom Plans M-Pesa Upgrade on Sat 9th Sept,"SEPTEMBER 4, 2017"
Vodacom Group CEO Among the Four appointed to Safaricom Board,"SEPTEMBER 4, 2017"
Safaricom Opens 46th Retail Store in Kitale,"AUGUST 30, 2017"
Safaricom Home Fibre reaches 30k more homes in three months,"AUGUST 30, 2017"
Safaricom Shares Touch New All Time High of Sh 26.75 Ahead of Book Closure!,"AUGUST 26, 2017"
Safaricom signs agreement with UN Environment to upscale implementation of sustainable goals,"AUGUST 24, 2017"
Safaricom Now Makes it Easier for Businesses to Plug into M-Pesa APIs,"AUGUST 3, 2017"
Safaricom Becomes First Kenyan Company To Breach Sh 1.0 Trillion Market Cap,"JULY 31, 2017"
Safaricom to launch E-Commerce site next month,"JULY 26, 2017"
Vodacom SA shareholders vote to acquire 35% Safaricom Stake,"JULY 26, 2017"
"Safaricom’s Head of Financial Services Ron Web Resigns, Company Cites Personal Reasons","JULY 25, 2017"
Safaricom Begins Major Upgrade of M-Pesa To New Platform,"JUNE 30, 2017"
Safaricom unveils Sh 100 Million Football challenge,"JUNE 29, 2017"
Safaricom Partners with mSurvey To Measure Kenya’s Cash & Digital Economy,"JUNE 29, 2017"
Safaricom Announces New Brand Identity Dubbed #Twaweza,"JUNE 19, 2017"
Safaricom Increases Skiza Earnings For Kenyan Musicians By 36%,"JUNE 18, 2017"
Safaricom To Expand M-Pesa Services Across All African Countries,"JUNE 14, 2017"
Safaricom Market Cap Nears Record Sh 1 Trillion,"JUNE 13, 2017"
South Africa’s Vodacom shareholder PIC to back Safaricom deal,"JUNE 5, 2017"
"Safaricom Shares Surge to All Time High, Pushing Its Market Cap To Sh 922 Billion","JUNE 1, 2017"
Kenya’s Safaricom Invests Ksh. 200 Million In Technology R&D Lab,"MAY 24, 2017"
Safaricom lowers merchants fee to 0.5% on M-Pesa 1Tap Platform,"MAY 18, 2017"
Vodacom Acquires Vodafone PLC’s 35% Stake In Safaricom,"MAY 15, 2017"
"Safaricom Earnings Up 27% To Sh 48.4 Billion, Collymore Gets 2 year Contract Extension","MAY 12, 2017"
Safaricom Officially Unveils M-Pesa Payments Card To Rival Visa & Mastercard,"MAY 10, 2017"
Safaricom Stock Hits 2017 High Ahead of Wednesday’s Earnings Release,"MAY 8, 2017"
Safaricom and Kwese TV announce video distribution partnership,"APRIL 25, 2017"
Safaricom Widens Market Share to 71.2% as Equitel Slumps,"APRIL 4, 2017"
"Safaricom Cuts Lipa Na M-Pesa Tariffs By Half, Announces M-Pesa App","MARCH 29, 2017"
Safaricom Share Price Gains 17% After Govt Says M-PESA won’t be Split,"MARCH 14, 2017"
"Safaricom Stock Slides to 8-Month Low, NSE 20 Returns To Sub 3000","MARCH 1, 2017"
Market Dominance Report Proposes Splitting of M-Pesa from Safaricom,"FEBRUARY 23, 2017"
Safaricom To Allocate More Funds Towards Fixed Data,"JANUARY 29, 2017"
Safaricom HR Director Maria Shipiri Resigns,"JANUARY 22, 2017"
Safaricom Market Share Increases To Nearly 70%,"JANUARY 19, 2017"
Safaricom may back out of M-Akiba deal over Govt delay,"DECEMBER 7, 2016"
Safaricom named ‘African Mobile Operator of the Year’,"JANUARY 11, 2017"
Safaricom Half Year Net Profit Up 32% To Sh 23.9Bn,"NOVEMBER 4, 2016"
Safaricom CEO Bob Collymore named Africa Investor Business leader of 2016,"SEPTEMBER 21, 2016"
Safaricom to roll out IT Products to boost Africa’s Agriculture,"SEPTEMBER 8, 2016"
Wednesday Trades on Safaricom Up 666%,"SEPTEMBER 8, 2016"
"When Safaricom Sneezes, the Market Catches a Cold","SEPTEMBER 5, 2016"
Safaricom’s value now Higher than all NSE Banks & EABL merged,"AUGUST 3, 2016"
"Market Report; Safaricom Market Cap hits Ksh 765.3 Billion, 37% of NSE.","AUGUST 1, 2016"
Safaricom cuts roaming charges for calls & data by up to 99%,"JULY 27, 2016"
"Safaricom Declares KES 27 Bn Special Dividend, Share Price Hits an ALL TIME HIGH…","JULY 26, 2016"
Safaricom appoints Vodacom Tanzania’s Kamath as new CFO,"JULY 3, 2016"
"Heavy Foreign Trades on Safaricom, BAT & EABL, Collymore Refutes Bank Acquisition rumors","JUNE 9, 2016"
Safaricom to launch local rival to Uber,"JUNE 9, 2016"
"MARKET REPORT; Safaricom hits an All Time High, KCB on a 3-year Low","JUNE 8, 2016"
"Safaricom Profit Up 19% To KES 38B, Declares 30B Dividends Pay","MAY 11, 2016"
"NSE 20 Share Index soars above 4000, Focus on Safaricom & More..","APRIL 25, 2016"
"Safaricom , Airtel & Orange Fail to Meet Quality of Service targets for 3rd year running","APRIL 19, 2016"
Safaricom to meet its Free Cash flow Target,"FEBRUARY 22, 2016"
Safaricom Gained 1% to close at KES 15.70,"FEBRUARY 18, 2016"
SAFARICOM ANALYSIS,"JANUARY 11, 2017"
Kenyans To Trade stocks via Safaricom Platform,"DECEMBER 3, 2015"
CBA Bank & Safaricom hunting in Rwanda,"NOVEMBER 24, 2015"
Safaricom emerges top in Africa ‘employer of choice’ awards,"NOVEMBER 24, 2015"
Safaricom Stock Gains +10.70% After Half Year Results Earnings,"NOVEMBER 19, 2015"
Why Safaricom stock is a must have in your NSE Portofolio,"NOVEMBER 16, 2015"
NSE Weekly turnover hits KSh 2.65 Billion as Banks dominate,"JANUARY 25, 2021"
NSE to Add 4 Companies on the Bourse in 2021,"JANUARY 23, 2021"
NSE turnover rises 67% to KSh 773.02 Million,"JANUARY 16, 2021"
ICEA Lion Sees Kenya’s Stock Market Moving Up in 2021,"JANUARY 14, 2021"
NSE turnover rises 85% to KSh 462.9 Million,"JANUARY 15, 2021"
NSE turnover drops 39% to KSh 248.9 Million,"JANUARY 13, 2021"
NSE Weekly turnover rises 7% to KSh 1.5 Billion,"JANUARY 9, 2021"
Kenya Stock Market Daily Report,"JANUARY 8, 2021"
NSE turnover declines 78% to KSh 130.97 Million,"JANUARY 8, 2021"
Quarterly Mobile Cash Deposits by Kenyans hit KSh 888 Billion,"JANUARY 10, 2021"
NSE turnover rises 55% to KSh 596.79 Million,"JANUARY 6, 2021"
NSE Turnover fall 53.4% to KSh 86.2 Million as 2020 closes,"DECEMBER 31, 2020"
NSE turnover rises 114% to KSh 185.1 Million,"DECEMBER 31, 2020"
Uchumi Supermarket is the top mover at the NSE,"DECEMBER 29, 2020"
The Best & Worst Performing Stocks at the NSE in 2020,"DECEMBER 29, 2020"
NSE Weekly turnover down 33.8% to KSh 1.4 Billion,"DECEMBER 28, 2020"
NSE Turnover Rises 124% to KSh 511 Million,"DECEMBER 24, 2020"
NSE turnover drops 52% to KSh 228.6 Million,"DECEMBER 24, 2020"
NSE Turnover Rises 219% to KSh 475.9 Million,"DECEMBER 23, 2020"
Vodafone concludes talks on sale of US$ 2.4 Billion Egyptian stake,"DECEMBER 21, 2020"
Weekly turnover at the NSE drops 23.2% to KSh 2.1 Billion,"DECEMBER 21, 2020"
Kenya’s Central Bank Announces Expiry of Waivers for Mobile Money Transactions,"DECEMBER 17, 2020"
Derivatives market remains Lacklustre as NSE issues New Pricing,"DECEMBER 16, 2020"
NSE turnover rises 295% to KSh714.20 Million,"DECEMBER 15, 2020"
"Markets Regulator to Cut Dominance of Foreigners, Big Firms at NSE","DECEMBER 14, 2020"
NSE Weekly Turnover down 49.62% to KSh 2.7 Billion on stalled Brexit talks,"DECEMBER 14, 2020"
NSE turnover down 57% to KSh 423.7 Million,"DECEMBER 11, 2020"
NSE Turnover Rises 93% to KSh 994.8 Million,"DECEMBER 10, 2020"
NSE turnover rises 657% to KSh 659.7 Million,"DECEMBER 8, 2020"
Ethiopian Central Bank Allows Operation of Foreign Currency Accounts,"DECEMBER 8, 2020"
NSE Turnover Drops 92% to KSh 87.1 Million,"DECEMBER 7, 2020"
Foreign Investors Push up Activity at the NSE,"DECEMBER 7, 2020"
NSE Turnover Remains Steady at KSh 1.1 Billion,"DECEMBER 7, 2020"
NSE Turnover Rises by 38.4% to KSh 1.1 Billion,"DECEMBER 3, 2020"
Turnover at NSE up 10% to KSh 780.9 Million,"DECEMBER 3, 2020"
MPesa Partners with Visa to Enable International Payments,"DECEMBER 3, 2020"
Airtel Picks Nokia to Lay 5G Foundations in Nairobi,"DECEMBER 2, 2020"
NSE Turnover Declines 57% to KSh 710.84 Million,"DECEMBER 3, 2020"
NSE Turnover Rises 6% to KSh561.86 Million,"NOVEMBER 28, 2020"
Turnover at NSE rises 63% to KSh 529.2 Million,"NOVEMBER 27, 2020"
NSE turnover declines 25% to KSh 324.02 Million,"NOVEMBER 26, 2020"
Reforms Needed to Strengthen the Stock Market,"NOVEMBER 24, 2020"
NSE Turnover down 47% to KSh 480.8 Million,"NOVEMBER 25, 2020"
NSE Weekly Market Cap Falls 0.15% to KSh 2.206 Trillion,"NOVEMBER 23, 2020"
Bank Shares Lose Appeal at Kenya’s Stock Market on Weak Q3 Earnings,"NOVEMBER 23, 2020"
"O-City Launches in Kenya, Promising a New Era of Contactless Matatu Payment","NOVEMBER 21, 2020"
NSE turnover rises 109% to KSh 908.81 Million,"NOVEMBER 21, 2020"
Turnover at the NSE rises 107% to KSh 435.40 Million,"NOVEMBER 20, 2020"
NSE turnover drops 43% to KSh 209.9 Million,"NOVEMBER 19, 2020"
NSE turnover edges up 37% to KSh 365.84 Million,"NOVEMBER 18, 2020"
NSE Records a Turnover of KSh 266.8 Million,"NOVEMBER 17, 2020"
NSE Turnover Rises 4% to KSh 608.68 Million,"NOVEMBER 14, 2020"
NSE turnover rises 42% to KSh 587.9 Million,"NOVEMBER 14, 2020"
NSE turnover rises 338% to KSh 413.2 Million,"NOVEMBER 10, 2020"
Turnover at NSE plunges to KSh 94.41 Million,"NOVEMBER 9, 2020"
Kenya Power share price tumbles ahead of its virtual AGM,"NOVEMBER 9, 2020"
NSE turnover drops to KSh 373.9 Million,"NOVEMBER 6, 2020"
Turnover at NSE rises 84% to KSh 1.1 Billion,"NOVEMBER 5, 2020"
NSE turnover drops by 5% to KSh 598 Million,"NOVEMBER 5, 2020"
NSE Turnover Rises by 45% to KSh 632.7 Million,"NOVEMBER 3, 2020"
NSE Records a 12% Decline in Turnover to KSh 435.32 Million,"NOVEMBER 2, 2020"
"Kakuzi Plc Appoints Nicholas Nganga as Chairman, Dr. John Kibunga Kimani Joins Board","NOVEMBER 2, 2020"
CMA Eyes Privatization of State-Owned Enterprises to End Listing Drought,"OCTOBER 29, 2020"
Turnover at the NSE ups slightly to KSh 272 Million,"OCTOBER 28, 2020"
NSE turnover drops to KSh 236.1 Million,"OCTOBER 27, 2020"
NSE Turnover Picks Up to KSh 442.97 Million,"OCTOBER 26, 2020"
Kenya’s Eneza e-learning platform Expands to Rwanda,"OCTOBER 25, 2020"
Boosting Network Connectivity in Rural Kenya: A Case of Ngurunit,"OCTOBER 25, 2020"
NSE Turnover Advances to KSh 610.46 Million,"OCTOBER 23, 2020"
NSE turnover edges to KSh 280.62 Million,"OCTOBER 22, 2020"
Netflix Sets Sight on Kenya’s Nascent Online Video Streaming Market,"OCTOBER 22, 2020"
NSE Turnover Jumps by 40% to KSh 250.38 Million,"OCTOBER 21, 2020"
NSE Turnover Reaches KSh 179.04 Million,"OCTOBER 19, 2020"
Turnover at NSE rises to KSh 121.7 Million,"OCTOBER 16, 2020"
NSE Turnover Hits KSh 198.97 Million,"OCTOBER 12, 2020"
April -June Mobile Money Transfers Hit KSh 722.6 Billion,"OCTOBER 9, 2020"
NSE Turnover Edges up to KSh 350.4 Million,"OCTOBER 8, 2020"
NSE records turnover of KSh 220.99 Million,"OCTOBER 7, 2020"
Pandemic Causes KSh 22 Billion Shrink in Advertising Spend,"OCTOBER 7, 2020"
The Zaria Village Starts Coming to Life,"OCTOBER 9, 2020"
Weekly turnover at NSE declines to KSh 1.5 Billion,"OCTOBER 4, 2020"
NSE Weekly turnover declined by 26.7% to KSh 1.1 Billion,"OCTOBER 12, 2020"
NSE Records a Turnover of KSh 237.4 Million,"OCTOBER 2, 2020"
NSE Turnover Jumps to KSh 652.49 Million,"SEPTEMBER 30, 2020"
NSE turnover plunges to KSh 182.7 Million,"SEPTEMBER 30, 2020"
NSE Turnover Declines to KSh 307.05 Million,"SEPTEMBER 28, 2020"
