News,Date
Equity Turnover Dropped to KSh 30.7 Billion in Third Quarter,"NOVEMBER 6, 2019"
Equity Bank Partners with AGCO to Fund Agribusiness,"OCTOBER 28, 2019"
Equity Bank in Talks to Enter Zimbabwe,"OCTOBER 17, 2019"
Private Equity Players Oppose Increase in Capital Gains Tax,"OCTOBER 16, 2019"
Equity Market Activity Slows Down,"OCTOBER 9, 2019"
Equity Group Gets a New logo for the 35th Anniversary,"OCTOBER 3, 2019"
Minority investors in Serengeti Breweries to pay KSh3.2 billion in EABL’s debt-equity conversion deal,"SEPTEMBER 11, 2019"
Equity Group plans to buy majority stake in Congo’s 2nd Largest lender,"SEPTEMBER 9, 2019"
World Bank Expatriate to drive Equity Bank’s Pan African expansion,"SEPTEMBER 2, 2019"
Equity Group’s Finserve future uncertain after Key managers quit,"AUGUST 30, 2019"
Nairobi based recycling company secures funding from DOB Equity and Global Innovation Fund,"AUGUST 21, 2019"
Equity Bank’s Jack Ngare moves to Microsoft,"AUGUST 7, 2019"
Equity Bank picks Gerald Warui to succeed Igathe,"AUGUST 6, 2019"
Digitization is Driving Equity Group’s Growth in Kenya’s Banking Sector.,"AUGUST 3, 2019"
97% of Equity Group banking transactions done outside the branch network,"AUGUST 3, 2019"
Polycarp Igathe leaves Equity to rejoin Vivo Energy,"SEPTEMBER 2, 2019"
EIB Partners with Equity Bank to Boost Funding to Agribusiness,"JUNE 24, 2019"
"Equity Group gets Ethiopian Banking licence, plans to begin operations in July","JUNE 14, 2019"
Azuri Tech Secures $26 Million Equity Investment From Japan’s Marubeni Corp,"JUNE 12, 2019"
Express Kenya Investors agree to convert KSh80 million debt into equity,"JUNE 11, 2019"
EQUITY BANK INVESTS IN A ROBUST CHANNEL TO DRIVE TRADE FINANCE,"MAY 21, 2020"
Equity Group seeks permission to start operating in Ethiopia as Q1 Profit rises by 6.1%,"MAY 10, 2019"
Equity Group retires two directors from its board,"MAY 10, 2019"
Equity bank investors drop Sh8.6Bn Employee Share Ownership Plan,"MAY 2, 2019"
Equity Bank to acquire Atlas Mara’s operations in 4 African Countries,"APRIL 30, 2019"
Equity Group and Safaricom renew partnership,"APRIL 30, 2019"
Equity Bank to allocate staff additional Sh8.6Bn worth of shares in an ESOP,"APRIL 12, 2019"
Kenya among Africa’s top destinations for Private Equity investments,"APRIL 3, 2019"
Equity Group’s net earnings jump 4% to KSh 19.7 billion,"MARCH 27, 2019"
Long Term buy for Equity Bank shares – Analysts,"FEBRUARY 26, 2019"
Equity Bank Receives Ksh10Bn Loan From IFC,"FEBRUARY 25, 2019"
AfDB Approves $25 million Equity Investment for Africa Renewable Energy Projects,"JANUARY 31, 2019"
Equity Group CEO Appointed to the Columbia Global Centers – Nairobi Advisory Board,"JANUARY 24, 2019"
Alterfin Buys Equity Investment in Musoni Services,"JANUARY 14, 2019"
Equity Bank Targets SMEs And Corporates With New Online FX Trading Platform,"NOVEMBER 29, 2018"
Equity’s Congo Records Fastest Growth Among Its Subsidiaries,"NOVEMBER 14, 2018"
Equity Bank Q3 Earnings Rise 8% to Sh 15.8Bn,"NOVEMBER 6, 2018"
Equity Bank Among Top 1000 Banks In The World,"OCTOBER 5, 2018"
Polycarp Igathe Named MD of Equity Bank Kenya,"SEPTEMBER 20, 2018"
Broker recommends ‘BUY’ rating on Equity Bank,"SEPTEMBER 6, 2018"
Equity Subsidiary Finserve Launches Multi-Faceted Keyboard App mKey,"SEPTEMBER 3, 2018"
Equity Bank Captures 47% Share of Banking Agents in Kenya – CBK Report,"AUGUST 31, 2018"
Equity Bank’s Finserve to Enable 6 Ethiopian Banks to Facilitate Cross-Border Payments,"AUGUST 30, 2018"
Equity Group Officially Launches its Fintech Subsidiary Finserve,"AUGUST 20, 2018"
Equity Group half year net profit up 18% to Sh 11B,"AUGUST 17, 2018"
Equity appoints Mary Wamae as Group Executive Director,"JULY 17, 2018"
"CBA, Equity & Co-op Caught in Land Title Fraud Worth Over Sh460m","JULY 9, 2018"
Equity Bank appointed exclusive merchant acquirer in Kenya for American Express,"JULY 9, 2018"
Former Equity Bank Head of Finance John Staley Named New CEO of Atlas Mara,"JULY 6, 2018"
Equity Confirms Appointment of Polycarp Igathe as Group CCO,"JULY 4, 2018"
Equity Bank’s Finserve targets 500 developers for APIs,"JUNE 26, 2018"
Equity Bank founder & Chairman Peter Munga retires after 35 years of service,"JUNE 7, 2018"
Africinvest’s Purchase of 14.3pc Equity Stake in Britam is Finalised,"MAY 22, 2018"
Equity Bank Reports 21% Growth in Q1 Earnings,"MAY 22, 2018"
Igathe Lands New role as Equity Bank’s new chief commercial officer,"MAY 15, 2018"
DOB Equity Invests in Rwanda’s Sarura Commodities,"APRIL 23, 2018"
Safaricom Challenges Equity’s PayPal Service Through New M-Pesa Based Partnership,"APRIL 9, 2018"
Equity Bank announces new withdrawal charges for PayPal users,"APRIL 6, 2018"
Equity Bank Reports 14% growth in Full Year Net Earnings,"MARCH 22, 2018"
Equity Bank CEO James Mwangi Appointed IFC Economic Advisor,"MARCH 15, 2018"
Funguo acquires majority equity stake of Feastfoods Processors,"MARCH 9, 2018"
Dutch PE Firm DOB Equity invests in app-based delivery network Sendy,"JANUARY 31, 2018"
"Citi Issues a buy recommendation for KCB stock, Neutral for Equity Bank","NOVEMBER 30, 2017"
Equity Group’s Q3 2017 Profit before Tax drops by 3.6%,"OCTOBER 31, 2017"
The rising Popularity of Equity Bank’s EazzyLoans,"OCTOBER 18, 2017"
Equity Bank’s insurance arm unveils healthcare product for Diaspora Market,"OCTOBER 16, 2017"
"Moody’s Places KCB, Equity and Co-op Bank on Review for Downgrade","OCTOBER 7, 2017"
Geopoll Survey Ranks Equity Bank as Most preferred lender in Kenya,"OCTOBER 5, 2017"
Norfund Backed Investment Firm Now Equity Bank’s Largest Shareholder with 12% Stake,"SEPTEMBER 14, 2017"
"Equity Bank Half Year 2017 Profit Slumps By 7.4%, Lays Off 66% of South Sudan Staff","AUGUST 22, 2017"
"Moody’s accords Equity Bank first-time ratings of B1, Stable Outlook","JULY 18, 2017"
KCB Group & Equity Bank Among Top 1000 Global Banks in 2017,"JULY 10, 2017"
Moody’s assigns first-time ratings to Kenya’s Equity Bank & Co-op Bank,"JULY 4, 2017"
Inside the mind of Brigit van Dijk – van de Reijt – CEO DOB Equity,"JUNE 12, 2017"
John Staley Leaves Equity Bank After 14 Years,"JUNE 2, 2017"
Equity Bank Q1 2017 Earnings Plunge By 6.1% to Sh 4.8 Billion,"MAY 25, 2017"
"Equity Bank Shuts Down Seven Branches in South Sudan, declares it “Dormant”","MAY 24, 2017"
PayPal System upgrade boosts Equity Bank Diaspora Revenue,"MAY 16, 2017"
"DOB Equity, IFC & CDC Team Up to invest in transforming Kenya’s warehouse industry","MAY 11, 2017"
12 Lenders Interested in Acquiring Equity Stake in Chase Bank – CBK,"MAY 2, 2017"
Equity Bank Acquires Additional 7% Stake in DR Congo Subsidiary for Sh 2.2 Billion,"APRIL 20, 2017"
CBK Invites Investors To Take Equity Stake in Chase Bank,"MARCH 30, 2017"
EIB signs Sh10.5 Billion Loan with Equity & HFC To support East African SMEs,"MARCH 29, 2017"
Equity Bank Appoints Prof Macharia as New Chairman To Replace Peter Munga,"MARCH 29, 2017"
Equity Bank Dismisses Ernst & Young as External Auditors,"MARCH 29, 2017"
"Equity Bank Earnings Fall for First Time in a Decade, Bad Loans Up 100%","MARCH 15, 2017"
DOB Equity acquires stake in Kenyan Milk Processing firm,"DECEMBER 15, 2016"
Equity Bank to process corporate and SME loans Via Equitel,"NOVEMBER 9, 2016"
Equity Bank Net Profit Up 18% despite massive rise in Bad Loans,"NOVEMBER 3, 2016"
Equity Bank customers using PayPal to withdraw funds within 3 days,"SEPTEMBER 26, 2016"
Equity Bank reduces interest rates to 14%,"SEPTEMBER 25, 2016"
Equity Bank plans to be present in 15 countries in ten years,"AUGUST 23, 2016"
Equity Bank Half Year Net Profit up 18% to 10.1Billion,"AUGUST 22, 2016"
"KQ Hits an All Time Low, Both KCB & Equity close at Ksh 40.50!","MAY 11, 2016"
"Equity Bank’s Q1 Net Profit Up 20%, says no further Acquisitions","MAY 10, 2016"
Equity Bank Rwanda Pre-Tax Profit up 66%,"MARCH 20, 2016"
Investment Banking Jobs at Equity Investment Bank,"MARCH 10, 2016"
Equity Bank Posts a 0.6% Increase in Profit After Tax to KES 17.3 Billion,"MARCH 8, 2016"
"NSE 20 Share approaching 4-Year Low,Foreigners spotted picking Bargains at Equity & KCB","JANUARY 22, 2016"
Equity Bank Chairman In a Land Tussle with Delmonte,"DECEMBER 16, 2015"
Equity Bank to Partner with Helios in cracking Ethiopian Market,"NOVEMBER 21, 2015"
The Helios Shareholder who Refused to Leave Equity Bank,"NOVEMBER 19, 2015"
The Helios Shareholder who wants to be allocated their own shares of Equity Bank,"NOVEMBER 17, 2015"
Equity Bank Heeds to CBK Governor’s Call & cancels Interest Rates hike notice,"NOVEMBER 16, 2015"
Britam Holdings Names Mohamed Karama as Acting Chairman of the Board,"FEBRUARY 2, 2021"
I&M Appoints Christopher Low as New Regional Director,"FEBRUARY 2, 2021"
CIC Insurance Issues Profit Warning,"JANUARY 29, 2021"
IFC Loans KSh1.1 Billion to East Africa’s Largest Glass-Bottle Manufacturer,"JANUARY 27, 2021"
NSE’s Bond Turnover Hits All-Time High as Investors Seek Stable Returns,"JANUARY 27, 2021"
Kenya Among Top 5 African Nations Targeted for Mergers & Acquisition Deals,"JANUARY 26, 2021"
NSE Weekly turnover hits KSh 2.65 Billion as Banks dominate,"JANUARY 25, 2021"
UK’s CDC Group to Invest KSh110 Billion in African Businesses,"JANUARY 21, 2021"
SMEs to cushion against pandemic as banks rush to the rescue,"JANUARY 20, 2021"
Renewed Interest in Kenya’s Capital Markets as NSE shakes off pandemic woes,"JANUARY 20, 2021"
Investors Pile KSh9.9 Billion in Mutual Funds in Q3 2020,"JANUARY 21, 2021"
Impact Investment and the growing shift toward meaningful finance in Africa,"JANUARY 18, 2021"
UK – Africa Investment Conference Slated for 20th January 2021,"JANUARY 16, 2021"
NSE turnover rises 67% to KSh 773.02 Million,"JANUARY 16, 2021"
NSE turnover rises 85% to KSh 462.9 Million,"JANUARY 15, 2021"
NSE turnover drops 39% to KSh 248.9 Million,"JANUARY 13, 2021"
Weekly Deals Digest Dec 30 – Jan 5,"JANUARY 11, 2021"
NSE Weekly turnover rises 7% to KSh 1.5 Billion,"JANUARY 9, 2021"
Kenya Stock Market Daily Report,"JANUARY 8, 2021"
IFC to Invest KSh1.096 Billion in Ascent Rift Valley Fund II LP,"JANUARY 8, 2021"
NSE turnover declines 78% to KSh 130.97 Million,"JANUARY 8, 2021"
NSE turnover rises 55% to KSh 596.79 Million,"JANUARY 6, 2021"
Top 10 Funding Deals in Africa in 2020,"JANUARY 5, 2021"
Weekly Deals Digest Dec 23 – Dec 29,"JANUARY 2, 2021"
NSE Turnover fall 53.4% to KSh 86.2 Million as 2020 closes,"DECEMBER 31, 2020"
NSE turnover rises 114% to KSh 185.1 Million,"DECEMBER 31, 2020"
Amana Capital unlocks KSh 122 Million to its investors,"DECEMBER 29, 2020"
The Best & Worst Performing Stocks at the NSE in 2020,"DECEMBER 29, 2020"
NSE Weekly turnover down 33.8% to KSh 1.4 Billion,"DECEMBER 28, 2020"
NSE Turnover Rises 124% to KSh 511 Million,"DECEMBER 24, 2020"
NSE turnover drops 52% to KSh 228.6 Million,"DECEMBER 24, 2020"
NSE Turnover Rises 219% to KSh 475.9 Million,"DECEMBER 23, 2020"
NSE daily turnover drops 52% to KSh 149.3 Million,"DECEMBER 21, 2020"
Weekly turnover at the NSE drops 23.2% to KSh 2.1 Billion,"DECEMBER 21, 2020"
Weekly Deals Digest Dec 9th – 15th,"DECEMBER 19, 2020"
Centum Real Estate Bond Raises KSh3 Billion,"DECEMBER 19, 2020"
Kenyan Health Startup Ilara Health Raises $3.75m to Expand Diagnostic Reach,"DECEMBER 16, 2020"
Derivatives market remains Lacklustre as NSE issues New Pricing,"DECEMBER 16, 2020"
NSE turnover rises 295% to KSh714.20 Million,"DECEMBER 15, 2020"
"Markets Regulator to Cut Dominance of Foreigners, Big Firms at NSE","DECEMBER 14, 2020"
Kenyan Banks to Suffer more Loan Losses in 2021 – Mckinsey,"DECEMBER 14, 2020"
Why SMEs have given the NSE a Wide Berth,"DECEMBER 12, 2020"
NSE Weekly Turnover down 49.62% to KSh 2.7 Billion on stalled Brexit talks,"DECEMBER 14, 2020"
NSE turnover down 57% to KSh 423.7 Million,"DECEMBER 11, 2020"
NSE Turnover Rises 93% to KSh 994.8 Million,"DECEMBER 10, 2020"
IFC to Invest KSh1.4 Billion in Ugandan Pharmaceutical Company,"DECEMBER 10, 2020"
US Stock Market Hits Record High,"DECEMBER 9, 2020"
Standard Chartered Bank Expects Net Profit to Fall by Over 25%,"DECEMBER 9, 2020"
NSE turnover rises 657% to KSh 659.7 Million,"DECEMBER 8, 2020"
Foreign Investors Push up Activity at the NSE,"DECEMBER 7, 2020"
NSE Turnover Rises by 38.4% to KSh 1.1 Billion,"DECEMBER 3, 2020"
Centum Real Estate’s KSh 4 Billion Bond Wins CMA’s Approval,"DECEMBER 3, 2020"
Turnover at NSE up 10% to KSh 780.9 Million,"DECEMBER 3, 2020"
Deloitte Warns of Negative Effects of Covid19 on Insurance Business,"DECEMBER 2, 2020"
BK Group’s 9 Months Net Income Rises 10.5% to $ 28.6 Million,"NOVEMBER 30, 2020"
Weekly Deals Digest Nov 18 – Nov 24,"NOVEMBER 29, 2020"
NSE Turnover Rises 6% to KSh561.86 Million,"NOVEMBER 28, 2020"
Banks Restructure Loans worth KSh 1.38 Trillion as Virus hits Loan Books – CBK,"NOVEMBER 27, 2020"
Centum Posts Biggest Loss in its History,"NOVEMBER 27, 2020"
Britam Holdings Issues Profit Warning for 2020,"NOVEMBER 27, 2020"
Turnover at NSE rises 63% to KSh 529.2 Million,"NOVEMBER 27, 2020"
NSE turnover declines 25% to KSh 324.02 Million,"NOVEMBER 26, 2020"
NSE Turnover down 47% to KSh 480.8 Million,"NOVEMBER 25, 2020"
Jubilee Insurance to Hold Virtual AGM Next Month,"NOVEMBER 23, 2020"
NSE Weekly Market Cap Falls 0.15% to KSh 2.206 Trillion,"NOVEMBER 23, 2020"
Carbacid Announces KSh 0.70 Dividend after 23% Jump in Net Profit,"NOVEMBER 23, 2020"
Bank Shares Lose Appeal at Kenya’s Stock Market on Weak Q3 Earnings,"NOVEMBER 23, 2020"
NSE turnover rises 109% to KSh 908.81 Million,"NOVEMBER 21, 2020"
Turnover at the NSE rises 107% to KSh 435.40 Million,"NOVEMBER 20, 2020"
KCB Shares Trading at 40% Discount- Citi Research,"NOVEMBER 20, 2020"
NSE turnover drops 43% to KSh 209.9 Million,"NOVEMBER 19, 2020"
"East Africa on the move to a single stock exchange by Q1, 2021","NOVEMBER 18, 2020"
Absa’s Q3 Net Profit Down by 65%,"NOVEMBER 18, 2020"
KCB Sees Full-year Profits Declining by Over 25%,"NOVEMBER 18, 2020"
Money Market Funds Dominate Unit Trust Fund Market,"NOVEMBER 17, 2020"
Weekly Deals Digest Nov 4th – Nov 10th,"NOVEMBER 23, 2020"
NSE Records a Turnover of KSh 266.8 Million,"NOVEMBER 17, 2020"
Call For Nominations – Angaza Awards: Women to Watch in Banking & Finance,"DECEMBER 8, 2020"
NSE Turnover Rises 4% to KSh 608.68 Million,"NOVEMBER 14, 2020"
Value of EA Corporate Deals Surpasses KSh130 Billion in October,"NOVEMBER 11, 2020"
NSE turnover rises 338% to KSh 413.2 Million,"NOVEMBER 10, 2020"
"Markets eye Safaricom H1, 2020/21 financial results","NOVEMBER 9, 2020"
Weekly Deals Digest: Oct 28 – Nov 3,"NOVEMBER 8, 2020"
CMA Seeks to Resuscitate Corporate Bonds Market,"NOVEMBER 7, 2020"
NSE turnover drops to KSh 373.9 Million,"NOVEMBER 6, 2020"
Turnover at NSE rises 84% to KSh 1.1 Billion,"NOVEMBER 5, 2020"
NSE turnover drops by 5% to KSh 598 Million,"NOVEMBER 5, 2020"
Absa Asset Management Gets Greenlight to Register Unit Trust Funds,"NOVEMBER 4, 2020"
NSE Turnover Rises by 45% to KSh 632.7 Million,"NOVEMBER 3, 2020"
Wee Media Raises $400K Seed Funding,"NOVEMBER 3, 2020"
NSE Records a 12% Decline in Turnover to KSh 435.32 Million,"NOVEMBER 2, 2020"
Kenya Urged to Speed up Financial Markets Reforms – Absa AFMI 2020,"NOVEMBER 12, 2020"
Turnover at the NSE ups slightly to KSh 272 Million,"OCTOBER 28, 2020"
"High Court Grants Tuskys, Hotpoint 45 Days to Negotiate Out of Court","OCTOBER 28, 2020"
NSE turnover drops to KSh 236.1 Million,"OCTOBER 27, 2020"
Centum Real Estate to Issue KSh 4 Billion Bond to Finance Projects,"OCTOBER 27, 2020"
Liquid Telecom Raises $307 Million for Expansion in Africa,"OCTOBER 27, 2020"
NSE Turnover Picks Up to KSh 442.97 Million,"OCTOBER 26, 2020"
Citi Projects Safaricom’s Net earnings to Hit KSh78.7 Billion in 2023,"OCTOBER 25, 2020"
Weekly Deals Digest: Oct 14 – Oct 20,"OCTOBER 31, 2020"
NSE Turnover Advances to KSh 610.46 Million,"OCTOBER 23, 2020"
NSE turnover edges to KSh 280.62 Million,"OCTOBER 22, 2020"
Kenya’s Mutual Fund Assets Grow 15% to KSh 88.1 Billion in Q2,"OCTOBER 22, 2020"
NSE Turnover Jumps by 40% to KSh 250.38 Million,"OCTOBER 21, 2020"
"Global Markets; Alibaba Acquisition, Europe New Lockdowns, IMF Head on Digital Currency","OCTOBER 20, 2020"
NSE Turnover Reaches KSh 179.04 Million,"OCTOBER 19, 2020"
Turnover at NSE rises to KSh 121.7 Million,"OCTOBER 16, 2020"
NSE turnover plunges to a new low of KSh 87.5 Million,"OCTOBER 15, 2020"
KCB goes green with US$150 Million IFC credit,"OCTOBER 14, 2020"
VSA Capital Partners with Faida Bank to Expand African Footprint,"OCTOBER 13, 2020"
NSE Turnover Hits KSh 198.97 Million,"OCTOBER 12, 2020"
CMA Gives Nod to Pezesha’s Crowdfunding Platform,"OCTOBER 12, 2020"
CMA Distances Itself from Cytonn High Yield Solutions (CHYS),"OCTOBER 10, 2020"
Weekly Deals Digest: Sept 30 – Oct 6,"OCTOBER 10, 2020"
NSE Turnover Edges up to KSh 350.4 Million,"OCTOBER 8, 2020"
NSE records turnover of KSh 220.99 Million,"OCTOBER 7, 2020"
"Access Bank in Talks to Acquire Mozambique’s BancABC, Eyeing a Stronger African Network","OCTOBER 5, 2020"
Weekly turnover at NSE declines to KSh 1.5 Billion,"OCTOBER 4, 2020"
NSE Weekly turnover declined by 26.7% to KSh 1.1 Billion,"OCTOBER 12, 2020"
NSE Records a Turnover of KSh 237.4 Million,"OCTOBER 2, 2020"
Rolls Royce in Fresh Pursuit for £3 Billion,"OCTOBER 1, 2020"
NSE Turnover Jumps to KSh 652.49 Million,"SEPTEMBER 30, 2020"
Fitch Affirms Afreximbank’s BBB- Credit Rating,"SEPTEMBER 30, 2020"
Jubilee Holdings Partners with Allianz Africa in KSh10.1 Billion Deal,"SEPTEMBER 30, 2020"
NSE turnover plunges to KSh 182.7 Million,"SEPTEMBER 30, 2020"
Tuskys Shareholders Approve KSh2 Billion Credit Deal,"SEPTEMBER 29, 2020"
NSE Turnover Declines to KSh 307.05 Million,"SEPTEMBER 28, 2020"
NSE Weekly Turnover Declines to KSh3.4 Billion,"SEPTEMBER 28, 2020"
NSE Turnover Drops to KSh 502.5 Million,"SEPTEMBER 25, 2020"
Turnover at the NSE rises to KSh 1.44 Billion,"SEPTEMBER 24, 2020"
Turnover at NSE edges slightly to KSh 685.81 Million,"SEPTEMBER 23, 2020"
NSE Turnover Rises to KSh 607 Million,"SEPTEMBER 22, 2020"
Turnover at NSE Halves to KSh 204.4 Million,"SEPTEMBER 29, 2020"
NSE Isolated in Proposed Regional Bourse Plan,"SEPTEMBER 21, 2020"
Interswitch to Revive Investments in Startup After 4 years of Dormancy,"SEPTEMBER 19, 2020"
Weekly Turnover at NSE Doubles to KSh5 Billion,"SEPTEMBER 19, 2020"
Reprieve for Tuskys as it Receives KSh 500 Million Credit Line,"SEPTEMBER 19, 2020"
Turnover at NSE Drops to KSh 453 Million,"SEPTEMBER 18, 2020"
NSE Turnover Climbs to KSh 3.8 Billion,"SEPTEMBER 17, 2020"
Turnover at the NSE Rebounds to KSh 303.1 Million,"SEPTEMBER 16, 2020"
Nvidia to Acquire Chipmaker Arm from SoftBank for $40 Billion,"SEPTEMBER 15, 2020"
Kenya’s Stock Market Records Lowest Daily Turnover in 2020,"SEPTEMBER 14, 2020"
Weekly Deals Digest: Sept 2 – Sep 8 2020,"SEPTEMBER 20, 2020"
CMA grants African Diaspora Asset Managers a license,"SEPTEMBER 12, 2020"
Safaricom Dominates NSE as Turnover Slides to KSh 398.6 Million,"SEPTEMBER 11, 2020"
Kenya’s Banking Giants Lift Provisions as COVID-19 Hits Lending,"SEPTEMBER 10, 2020"
Global Markets News Headlines,"SEPTEMBER 9, 2020"
GM Acquires 11% Stake in Electric Truck Startup Nikola for $2 Bn,"SEPTEMBER 9, 2020"
Absa Dominates Trading at NSE,"SEPTEMBER 9, 2020"
Turnover at NSE Jumps to KSh 501.49 Million,"SEPTEMBER 7, 2020"
KCB to Pay KSh3.2 Billion to Imperial Bank Depositors,"SEPTEMBER 8, 2020"
Banks and Pension Funds Dominate Kenya’s Domestic Debt,"SEPTEMBER 30, 2020"
Nigeria Invests $ 29.3 Million in Shelter Afrique,"SEPTEMBER 8, 2020"
Ethiopian Airlines in Talks to Support South African Airways Out of 5 Months of Dormancy,"SEPTEMBER 4, 2020"
NSE Turnover Increases Fourfold,"SEPTEMBER 2, 2020"
Global Markets Highlights,"SEPTEMBER 3, 2020"
All Set For the Africa Regional Leading Women in Banking e-Conference,"SEPTEMBER 1, 2020"
Turnover at the NSE hits KSh 1.2 Billion,"SEPTEMBER 2, 2020"
Kengen Renews Rebecca Miano’s 3 Year Contract as Managing Director,"AUGUST 31, 2020"
Earnings Season Lifts NSE Weekly Turnover to KSh 2.75 Billion,"AUGUST 31, 2020"
East African Cables Reports KSh244 Million Loss in H1 2020,"AUGUST 30, 2020"
Turnover Rises to KSh 670.97 Million as Bourse closes on Friday,"AUGUST 31, 2020"
HF Group Half-year Net Loss Widens to KSh 295.5 Million,"AUGUST 31, 2020"
"Walmart Partners With Microsoft in TikTok Buy, Eyeing New Ad Revenues","AUGUST 28, 2020"
Turnover at NSE Inches to KSh 495.2 Million,"AUGUST 31, 2020"
NSE Cost-Cutting Measures Boost Half Year Earnings,"AUGUST 31, 2020"
NCBA Half-year Net Earnings Rise Marginally to KSh 2.6 Billion,"AUGUST 31, 2020"
I&M Holdings Half-year Net Profit Declines to KSh 3.2 Billion,"AUGUST 31, 2020"
NSE turnover slides to KSh 474.9 Million,"AUGUST 31, 2020"
NSE Daily Turnover Trebles to KSh 854.5 Million,"SEPTEMBER 2, 2020"
Turnover at NSE Declines to KSh 260.89 Million,"AUGUST 26, 2020"
WorkPay Raises $2.1 Million Seed Capital,"AUGUST 26, 2020"
Banks Dominate NSE as Weekly Turnover Hits KSh1.9 Billion,"AUGUST 26, 2020"
NSE Turnover Rises Sharply to KSh 707.58 Million,"AUGUST 26, 2020"
ICEA Lion Asset Management’s Half-year Net Earnings Rise to KSh 62.7 Million,"AUGUST 26, 2020"
Opera Launches New Lending Fintech “Nanobank” in Partnership With Mobimagic,"AUGUST 21, 2020"
Stanbic and Jubilee Holdings Included in NSE 20 and NSE 25 Share Indices,"AUGUST 21, 2020"
Pandemic Pushes Britam to KSh 1.6 Billion Half-Year Net loss,"AUGUST 21, 2020"
Silicon Valley’s Incubator Founder Institute Lands in Kenya,"AUGUST 20, 2020"
The 2020 FiRe Awards Officially Kick-Off,"AUGUST 26, 2020"
