News,Date
KCB CEO Joshua Oigara Re-Elected Chairman of KBA Governing Council,"JUNE 28, 2019"
High Court Declines to Suspend Planned Acquisition of NBK by KCB Group,"JUNE 10, 2019"
KCB Group financials to weaken after the acquisition of National Bank – Moody’s,"JUNE 7, 2019"
Planned Acquisition of NBK by KCB Group Challenged in Court,"JUNE 7, 2019"
Central Bank approves National Bank takeover offer by KCB Group,"JUNE 7, 2019"
KCB Shareholders Approve Deal to Acquire NBK,"JUNE 3, 2019"
KCB Group posts KSh5.77 billion net profit in Q1 2019,"MAY 24, 2019"
Capital markets regulator approves National Bank takeover offer by KCB,"MAY 18, 2019"
KCB Plans to Buy Banks in Rwanda and DRC,"MAY 17, 2019"
KCB group offers to fully acquire National Bank of Kenya,"APRIL 18, 2019"
KCB Group and National Bank Shares suspended following a potential merger,"APRIL 18, 2019"
Press Release; KCB Bank Kenya Taps More Payment Options in Link up with UnionPay,"APRIL 11, 2019"
KCB to take over operations at 5 Imperial Bank branches,"APRIL 6, 2019"
KCB Group to start operating in China by June 2019,"APRIL 3, 2019"
KCB signs deal with Moroccan Bank,"MARCH 19, 2019"
KCB Group reports impressive performance outside Kenya,"MARCH 11, 2019"
KCB Group 2018 earnings up 22% to Sh 24 billion,"MARCH 6, 2019"
KCB Among Most Digital Savvy Banks Globally – Survey,"JANUARY 18, 2019"
How is Fuliza different from Mshwari and KCB – Mpesa?,"JANUARY 15, 2019"
Imperial Bank Depositors Asked to Open New KCB Accounts to Receive Payments,"DECEMBER 18, 2018"
KCB PAT For Q3 Increases By 19.6% To Ksh18B,"NOVEMBER 15, 2018"
KCB Banks On Commonwealth Auditor To Chair Its Board,"OCTOBER 29, 2018"
KCB Group’s Half Year Net Profit Rises 18pc to Sh12.1bn,"AUGUST 17, 2018"
KCB to Partner with an Ethiopian Bank as the Country Opens Up to Foreign Investors,"JULY 17, 2018"
Two Submit Petition to Senate Over Restriction of Govt Institutions’ Bank Accounts to KCB,"JULY 11, 2018"
KCB Group CEO Joshua Oigara Appointed Chairman of Kenya Bankers Association,"JUNE 29, 2018"
KCB Group posts 14% growth in Q1 net earnings,"MAY 22, 2018"
KCB Group secures Sh 10 Billion facility from AFDB to lend to SMEs,"APRIL 19, 2018"
Court Allows KCB to Pay Bonuses to Kenyan Managerial Staff,"APRIL 16, 2018"
Joshua Oigara reappointed as KCB Group CEO for 4 years,"APRIL 11, 2018"
KCB Group Full Year net earnings down by 0.1% to Sh19.7 Billion,"MARCH 9, 2018"
KCB Group Plc Makes Changes in Its Directorship,"FEBRUARY 20, 2018"
KCB Staff Strike in South Sudan Enters Third Week,"FEBRUARY 5, 2018"
"Citi Issues a buy recommendation for KCB stock, Neutral for Equity Bank","NOVEMBER 30, 2017"
KCB Group records a 5% increase in Q3 2017 After Tax Profits,"NOVEMBER 9, 2017"
AfDB approves Sh 10 Billion Line of Credit to KCB Group,"NOVEMBER 6, 2017"
"Moody’s Places KCB, Equity and Co-op Bank on Review for Downgrade","OCTOBER 7, 2017"
"KCB Group Half Year 2017 Profits Unchanged, Share Price Up 66% Since Feb","AUGUST 3, 2017"
"Global Credit Rating affirms KCB Group’s AA(KE), Outlook Stable","JULY 13, 2017"
KCB Group & Equity Bank Among Top 1000 Global Banks in 2017,"JULY 10, 2017"
“We’re Not Aware of KCB’s Intention to Acquire NBK” – CMA,"JUNE 20, 2017"
No real Benefit for KCB Shareholders in NBK Acquisition – Genghis,"JUNE 14, 2017"
KCB Group Tables Proposal To Acquire 70% Stake in National Bank Of Kenya,"JUNE 11, 2017"
"KCB Group Posts Slight Drop in Q1 2017 Earnings, Asset Base Hits Sh 600B","MAY 11, 2017"
"KCB Group Net Profit Unchanged, Declares 50% Increase in Dividends","MARCH 10, 2017"
KCB Group to Lay Off Over 500 citing tech changes & interest cap regime,"FEBRUARY 22, 2017"
How KCB’s 2jiajiri Program is Tackling Youth Unemployment,"FEBRUARY 21, 2017"
"KCB Group sends Home 28 staff in Rwandan subsidiary, Kenya Up Next","FEBRUARY 9, 2017"
KCB Foundation Increases 2jiajiri scholarships by 500%,"FEBRUARY 8, 2017"
KCB Group Q3 Net Profit Grows 15% to KSh 15.9Bn,"NOVEMBER 9, 2016"
KCB-Mpesa Loan Services restored but with higher interest rates,"SEPTEMBER 29, 2016"
"KCB Group HY 2016 Pretax Profits up 14%, reschedules rights issue","AUGUST 4, 2016"
"MARKET REPORT; Safaricom hits an All Time High, KCB on a 3-year Low","JUNE 8, 2016"
"KQ Hits an All Time Low, Both KCB & Equity close at Ksh 40.50!","MAY 11, 2016"
Central Bank endorses KCB To Take Over Chase Bank,"APRIL 20, 2016"
"KCB says open to consolidation, no comment on Chase Bank","APRIL 12, 2016"
KCB Rwanda pretax Profits Up by 165%,"MARCH 22, 2016"
Technology helps boost KCB’s FY-2015 pretax profit by 12% to Ksh 26.5 Billion,"MARCH 2, 2016"
"NSE 20 Share approaching 4-Year Low,Foreigners spotted picking Bargains at Equity & KCB","JANUARY 22, 2016"
MD & Head of Investment Banking wanted at KCB Capital,"JANUARY 8, 2016"
KCB forms a holding company,"JANUARY 5, 2016"
KCB named Africa’s Best Employer,"DECEMBER 15, 2015"
KCB CEO Joshua Oigara says he is worth Ksh 220M,"DECEMBER 10, 2015"
KCB To venture into Property Development,"DECEMBER 2, 2015"
"KCB shelves plans to increase lending rates,says market conditions have softened","NOVEMBER 19, 2015"
I&M Appoints Christopher Low as New Regional Director,"FEBRUARY 2, 2021"
CIC Insurance Issues Profit Warning,"JANUARY 29, 2021"
NSE Weekly turnover hits KSh 2.65 Billion as Banks dominate,"JANUARY 25, 2021"
SMEs to cushion against pandemic as banks rush to the rescue,"JANUARY 20, 2021"
IFC Loans KSh8.25 Billion to Co-operative Bank to Support MSMEs,"JANUARY 19, 2021"
NSE turnover rises 67% to KSh 773.02 Million,"JANUARY 16, 2021"
NSE turnover rises 85% to KSh 462.9 Million,"JANUARY 15, 2021"
NSE Weekly turnover rises 7% to KSh 1.5 Billion,"JANUARY 9, 2021"
Cooperative Bank Issues Profit Alert Following a Tough Year,"JANUARY 10, 2021"
NSE turnover declines 78% to KSh 130.97 Million,"JANUARY 8, 2021"
NSE turnover rises 55% to KSh 596.79 Million,"JANUARY 6, 2021"
Uchumi Supermarket is the top mover at the NSE,"DECEMBER 29, 2020"
Diamond Trust Bank (DTB) Issues Profit Warning,"DECEMBER 29, 2020"
The Best & Worst Performing Stocks at the NSE in 2020,"DECEMBER 29, 2020"
NSE Weekly turnover down 33.8% to KSh 1.4 Billion,"DECEMBER 28, 2020"
NSE Turnover Rises 124% to KSh 511 Million,"DECEMBER 24, 2020"
Absa Bank Kenya Issues Profit Warning,"DECEMBER 23, 2020"
NSE Turnover Rises 219% to KSh 475.9 Million,"DECEMBER 23, 2020"
Kenya’s National Oil Seeks KSh 7.5 Billion Cash Bailout,"DECEMBER 21, 2020"
Weekly turnover at the NSE drops 23.2% to KSh 2.1 Billion,"DECEMBER 21, 2020"
Derivatives market remains Lacklustre as NSE issues New Pricing,"DECEMBER 16, 2020"
"Markets Regulator to Cut Dominance of Foreigners, Big Firms at NSE","DECEMBER 14, 2020"
Kenyan Banks to Suffer more Loan Losses in 2021 – Mckinsey,"DECEMBER 14, 2020"
NSE Weekly Turnover down 49.62% to KSh 2.7 Billion on stalled Brexit talks,"DECEMBER 14, 2020"
NSE Turnover Rises 93% to KSh 994.8 Million,"DECEMBER 10, 2020"
Standard Chartered Bank Expects Net Profit to Fall by Over 25%,"DECEMBER 9, 2020"
NSE turnover rises 657% to KSh 659.7 Million,"DECEMBER 8, 2020"
NSE Turnover Drops 92% to KSh 87.1 Million,"DECEMBER 7, 2020"
Foreign Investors Push up Activity at the NSE,"DECEMBER 7, 2020"
NSE Turnover Remains Steady at KSh 1.1 Billion,"DECEMBER 7, 2020"
NSE Turnover Rises by 38.4% to KSh 1.1 Billion,"DECEMBER 3, 2020"
NSE Turnover Declines 57% to KSh 710.84 Million,"DECEMBER 3, 2020"
NSE Turnover Rises 6% to KSh561.86 Million,"NOVEMBER 28, 2020"
Banks Restructure Loans worth KSh 1.38 Trillion as Virus hits Loan Books – CBK,"NOVEMBER 27, 2020"
Turnover at NSE rises 63% to KSh 529.2 Million,"NOVEMBER 27, 2020"
NSE Turnover down 47% to KSh 480.8 Million,"NOVEMBER 25, 2020"
NSE Weekly Market Cap Falls 0.15% to KSh 2.206 Trillion,"NOVEMBER 23, 2020"
Bank Shares Lose Appeal at Kenya’s Stock Market on Weak Q3 Earnings,"NOVEMBER 23, 2020"
Stanchart Q3 Net Earnings Drop 30.6% to KSh 4 Billion,"NOVEMBER 20, 2020"
Coop Bank’s Q3 Net Profit Drops 10% to KSh9.8 Billion,"NOVEMBER 19, 2020"
Absa’s Q3 Net Profit Down by 65%,"NOVEMBER 18, 2020"
NSE turnover edges up 37% to KSh 365.84 Million,"NOVEMBER 18, 2020"
NSE Records a Turnover of KSh 266.8 Million,"NOVEMBER 17, 2020"
NSE Turnover Rises 4% to KSh 608.68 Million,"NOVEMBER 14, 2020"
Equity Group Q3 Net Earnings drop 14.6% to KSh 14.8 Billion,"NOVEMBER 12, 2020"
Stanchart Kenya to lay off 14% of Workforce Amid Covid-19,"NOVEMBER 12, 2020"
NSE turnover rises 42% to KSh 587.9 Million,"NOVEMBER 14, 2020"
Nakumatt Liquidation Pushed to February 2021 Due to Pandemic,"NOVEMBER 10, 2020"
Turnover at NSE plunges to KSh 94.41 Million,"NOVEMBER 9, 2020"
Kenya Power share price tumbles ahead of its virtual AGM,"NOVEMBER 9, 2020"
"Markets eye Safaricom H1, 2020/21 financial results","NOVEMBER 9, 2020"
NSE turnover drops to KSh 373.9 Million,"NOVEMBER 6, 2020"
Turnover at NSE rises 84% to KSh 1.1 Billion,"NOVEMBER 5, 2020"
NSE turnover drops by 5% to KSh 598 Million,"NOVEMBER 5, 2020"
CMA Eyes Privatization of State-Owned Enterprises to End Listing Drought,"OCTOBER 29, 2020"
Twiga Foods to Receive KSh 3.2 Billion Loan from IFC & Top Kenyan Banks,"OCTOBER 27, 2020"
NSE Turnover Picks Up to KSh 442.97 Million,"OCTOBER 26, 2020"
Cement Maker EAPCC Sinks into KSh 10 Billion Insolvency,"OCTOBER 26, 2020"
Dr James Bagaka Appointed Non-Executive Director of National Bank,"OCTOBER 26, 2020"
Citi Projects Safaricom’s Net earnings to Hit KSh78.7 Billion in 2023,"OCTOBER 25, 2020"
NSE Turnover Advances to KSh 610.46 Million,"OCTOBER 23, 2020"
NSE turnover edges to KSh 280.62 Million,"OCTOBER 22, 2020"
NSE Turnover Reaches KSh 179.04 Million,"OCTOBER 19, 2020"
Turnover at NSE rises to KSh 121.7 Million,"OCTOBER 16, 2020"
NSE turnover plunges to a new low of KSh 87.5 Million,"OCTOBER 15, 2020"
Market Report; NSE turnover edges to KSh 304.99 Million,"OCTOBER 13, 2020"
Kenyan CEO Earns an Average of KSh 3.6 Million per Month- PwC,"OCTOBER 8, 2020"
Pandemic Causes KSh 22 Billion Shrink in Advertising Spend,"OCTOBER 7, 2020"
COVID-19 Drives Up Safaricom’s Fuliza Loans to KSh 1 Billion Daily,"OCTOBER 7, 2020"
Weekly turnover at NSE declines to KSh 1.5 Billion,"OCTOBER 4, 2020"
NSE Weekly turnover declined by 26.7% to KSh 1.1 Billion,"OCTOBER 12, 2020"
NSE Turnover Declines to KSh 307.05 Million,"SEPTEMBER 28, 2020"
NSE Weekly Turnover Declines to KSh3.4 Billion,"SEPTEMBER 28, 2020"
NSE Turnover Drops to KSh 502.5 Million,"SEPTEMBER 25, 2020"
Issuance Of Shariah Compliant Bond-Like Instruments In Kenya,"SEPTEMBER 25, 2020"
Turnover at the NSE rises to KSh 1.44 Billion,"SEPTEMBER 24, 2020"
Turnover at NSE edges slightly to KSh 685.81 Million,"SEPTEMBER 23, 2020"
Turnover at NSE Halves to KSh 204.4 Million,"SEPTEMBER 29, 2020"
Weekly Turnover at NSE Doubles to KSh5 Billion,"SEPTEMBER 19, 2020"
NSE Turnover Climbs to KSh 3.8 Billion,"SEPTEMBER 17, 2020"
NSE Turnover Jumps to KSh 550.65 Million,"SEPTEMBER 16, 2020"
Turnover at the NSE Rebounds to KSh 303.1 Million,"SEPTEMBER 16, 2020"
Kenya’s Stock Market Records Lowest Daily Turnover in 2020,"SEPTEMBER 14, 2020"
Safaricom Dominates NSE as Turnover Slides to KSh 398.6 Million,"SEPTEMBER 11, 2020"
Kenya’s Banking Giants Lift Provisions as COVID-19 Hits Lending,"SEPTEMBER 10, 2020"
NSE Turnover Declines to KSh 143.4 Million,"SEPTEMBER 9, 2020"
Turnover at NSE Jumps to KSh 501.49 Million,"SEPTEMBER 7, 2020"
Banks and Pension Funds Dominate Kenya’s Domestic Debt,"SEPTEMBER 30, 2020"
Subscriber disruptions in overnight M-PESA upgrade,"SEPTEMBER 4, 2020"
Turnover at NSE Plunges to KSh 269 Million,"SEPTEMBER 3, 2020"
NSE Turnover Retreats to KSh 254.7 Million,"SEPTEMBER 2, 2020"
All Set For the Africa Regional Leading Women in Banking e-Conference,"SEPTEMBER 1, 2020"
Turnover at the NSE hits KSh 1.2 Billion,"SEPTEMBER 2, 2020"
Earnings Season Lifts NSE Weekly Turnover to KSh 2.75 Billion,"AUGUST 31, 2020"
Turnover Rises to KSh 670.97 Million as Bourse closes on Friday,"AUGUST 31, 2020"
Banks Dominate NSE as Weekly Turnover Hits KSh1.9 Billion,"AUGUST 26, 2020"
NSE Turnover Declines by 47% to KSh 204.4 Million,"AUGUST 21, 2020"
Stanbic and Jubilee Holdings Included in NSE 20 and NSE 25 Share Indices,"AUGUST 21, 2020"
NSE Turnover Rises to KSh 386.66 Million,"AUGUST 19, 2020"
"NSE Share Index Down, Turnover Hits KSh 347.3 Million","AUGUST 18, 2020"
NSE Turnover Declines to KSh 266 Million,"AUGUST 19, 2020"
CBK to Hold Next Policy Meeting on 29th September,"AUGUST 17, 2020"
Turnover at NSE Rises to KSh 353 Million,"AUGUST 19, 2020"
Turnover at NSE Slides to KSh 198.2 Million.,"AUGUST 13, 2020"
NSE Turnover Declines to KSh 266 Million,"AUGUST 13, 2020"
NSE Turnover Declines to KSh 356 Million,"AUGUST 11, 2020"
"KBA, FSD Kenya Partner to Promote Financial Inclusion for PWDs","AUGUST 11, 2020"
NSE Equity Market Turnover Hits KSh 482 Million,"AUGUST 10, 2020"
Market Report; Turnover at NSE remains flat,"AUGUST 7, 2020"
Kenya’s Benchmark Stock Market Index Hits 17 Year Low,"AUGUST 3, 2020"
Fitch Revises Down Japan’s Long-Term Outlook to Negative,"AUGUST 2, 2020"
NSE Turnover Declines 38% to KSh 327 Million,"JULY 28, 2020"
Kenya’s Stock Market Among World’s Worst Performers in Dollar Terms,"JULY 27, 2020"
Africa Enterprise Challenge Fund Appoints Victoria Sabula as CEO,"JULY 26, 2020"
NSE Turnover Dips 58% to KSh 446 Million,"JULY 23, 2020"
NSE Turnover Surpasses KSh 1 Billion,"JULY 22, 2020"
NSE Equity Turnover Rises 85% to KSh 1.01 Billion,"JULY 21, 2020"
NSE Turnover Rises Slightly to KSh 548 Million,"JULY 20, 2020"
NSE Market Turnover Rises to KSh 924 Million,"JULY 16, 2020"
State Clears KSh 185 Million KPCU Debt,"JULY 7, 2020"
Market Turnover Rises to KSh 553.5 Million,"JULY 6, 2020"
NSE Turnover Declines 47% to KSh 151 Million,"JULY 4, 2020"
Market Turnover Rises 34% to KSh 480 Million,"JULY 2, 2020"
"IFC, Shelter Afrique, Join Kenya Mortgage Refinance Company Board","JULY 2, 2020"
NSE Turnover Declines 28% to KSh 253 Million,"JUNE 29, 2020"
Stock Market Weekly Market Report,"JUNE 27, 2020"
Daily Markets Report,"JUNE 25, 2020"
Relief for Mumias Sugar as KSh 11 Billion Tax Bill Waived,"JUNE 23, 2020"
CMA Warns About Dominant Firms at The NSE,"JUNE 19, 2020"
Turnover Rises by 23% to KSh 511.8 Million,"JUNE 19, 2020"
NSE Market Turnover Falls 46.6% to KSh 473 Million,"JUNE 17, 2020"
NSE Turnover Slides to KSh 888.3 Million,"JUNE 16, 2020"
NSE Issues New Initial Margin Requirements For Equity Futures,"JUNE 15, 2020"
Safaricom Dominates Trading at NSE,"JUNE 13, 2020"
NSE Market Turnover Dips by 50%,"JUNE 13, 2020"
Kenya’s Budget 2020/21; Pending Bills,"JUNE 11, 2020"
Turnover at NSE Rises 46.7% to KSh716 Million,"JUNE 11, 2020"
Nation Media Stock Hits All Time Low,"JUNE 10, 2020"
Foreign Investor Participation at NSE Increases to 66.2%,"JUNE 9, 2020"
South African Firm Crosslists on Rwandan Bourse,"JUNE 4, 2020"
Listed Firms Hold AGMs Electronically,"JUNE 4, 2020"
NTSA Seeks to Introduce Cashless Payments in Matatus,"JUNE 3, 2020"
Access Bank Injects $9 Million in Rwandan Subsidiary,"JUNE 2, 2020"
EA Portland Cement Announces Voluntary Early Retirement Scheme,"MAY 29, 2020"
NSE Turnover Declines 20% to KSh 392 Million,"MAY 29, 2020"
Market Turnover at NSE Declines 17% to KSh 490.7 Million,"MAY 28, 2020"
SMEs to Benefit From Subsidized Loans,"MAY 25, 2020"
Turnover at NSE Hits 635.1 Million,"MAY 24, 2020"
Kenya Stock Market Report; 21/05/2020,"MAY 22, 2020"
NSE Turnover Rises to KSh584 Million,"MAY 20, 2020"
Safaricom Ranked East Africa’s Most Valuable Firm,"MAY 19, 2020"
Trading Activity at NSE Moves Up,"MAY 16, 2020"
Moody’s Issues Negative Rating to Kenya’s Top Three Banks,"MAY 16, 2020"
Banks Dominate as Turnover at NSE Slides to KSh 439 Million,"MAY 15, 2020"
NSE Turnover Drops to KSh 630 Million,"MAY 14, 2020"
Safaricom Pushes Turnover at NSE to KSh 1.6 Billion,"MAY 13, 2020"
"Volume, turnover and deals decline as NSE closes the week","MAY 8, 2020"
Mpesa Suffers an Outage,"MAY 7, 2020"
NSE Market Report 07/05/2020,"MAY 8, 2020"
"Safaricom : If not now, then when?","MAY 6, 2020"
Banks Dominate Trading Activity at NSE,"MAY 4, 2020"
Foreign investors take out KSh 11.7 billion from NSE in Q1 2020,"APRIL 29, 2020"
Mastercard Builds on COVID-19 Response with Commitment to Connect 1 Billion People to the Digital Economy by 2025 – Kenya Included,"MAY 19, 2020"
Co-op Share Up 6.4% After Dividend Announcement,"APRIL 16, 2020"
Budgeting As a Self-Awareness Tool,"APRIL 2, 2020"
Safaricom Ups Support Measures To Help Mitigate COVID-19 impact,"APRIL 2, 2020"
Moody’s Raises Concerns Over Kenyan Banks’ Ability to Weather Covid-19 Crisis,"APRIL 3, 2020"
Depressed Activity at NSE Continues,"MARCH 25, 2020"
Kenya Stock Market Key Index Dips Below 2000 Points,"MARCH 23, 2020"
Safaricom partners with PSV Operators to Collect Fares via M-PESA,"MARCH 23, 2020"
NSE Issues New Initial Margin Requirements,"MARCH 20, 2020"
Co-operative Bank Full Year Earnings Up 12.5% to KSh 14.3 billion,"MARCH 19, 2020"
Listed Firms to Postpone Annual Meetings,"MARCH 19, 2020"
NSE Turnover on Tuesday Fell by 73%,"MARCH 18, 2020"
"Live feed; Kenya Govt, Banks, Announce Actions to Support Economy","MARCH 19, 2020"
I&M Holdings Appoints Rose Kinuthia to The Board,"MARCH 18, 2020"
Kenya Markets Daily,"MARCH 18, 2020"
National Bank Posts KSh302 Million Loss,"MARCH 13, 2020"
Kenya Market Wrap: Home Africa Gains as Stanbic Holdings Dips,"MARCH 11, 2020"
NSE Remains Volatile as Investors Eye Banks’ Earnings,"MARCH 10, 2020"
A slump in activity persists at NSE,"FEBRUARY 25, 2020"
Investing In Stocks: The Power of Visionary Leadership,"FEBRUARY 25, 2020"
Kenya’s Stock Market Activity Up Ahead of Earnings Season,"FEBRUARY 10, 2020"
CMA Upgrades Surveillance System,"FEBRUARY 9, 2020"
"How WorldRemit Grew From Seed Capital of £200,000 to a Leading Global Brand in Just 10 years","FEBRUARY 2, 2020"
NCBA Investment Arm Sees Banking Stocks Dominate Activity at NSE,"JANUARY 27, 2020"
"CMA, Cytonn in Legal Tussle Over KSh 717.3 Million Unit Trust Fund","JANUARY 24, 2020"
Banks Submit Bids to Arrange KSh 150 Billion Kenya Roads Bond,"JANUARY 22, 2020"
Barclays is Finalizing Projects Ahead of the Transition Deadline in June,"JANUARY 21, 2020"
"IMF, World Bank to conduct an assessment of Kenya’s financial sector","JANUARY 20, 2020"
"Mpesa Tripple Pay of Accessibility, Simplicity and Convenience","JANUARY 20, 2020"
Nigeria’s Access Bank Completes Acquisition of Transnational Bank,"JANUARY 17, 2020"
Mumias Sugar Set to Revive Production,"JANUARY 17, 2020"
Private Sector Credit Growth Accelerates to 7.3% in November,"JANUARY 16, 2020"
KQ Set to Receive Cash Boost from the Government,"JANUARY 14, 2020"
Activity ups at NSE as holiday season ends,"JANUARY 11, 2020"
National Cement Completes Acquisition of ARM Cement Assets,"JANUARY 9, 2020"
NSE Turnover Triples to KSh 640 Million,"JANUARY 7, 2020"
Banking Stocks Boost Trading at NSE,"JANUARY 7, 2020"
"State to Rebrand Collapsed 75-Year-Old KPCU, Once Kenya’s Largest Coffee Dealer","JANUARY 6, 2020"
Kenya’s Economic Outlook in 2020,"JANUARY 8, 2020"
Kenyan Market Decade Analysis,"JANUARY 1, 2020"
Titans of The Decade; Bob The Scale-Up Master,"DECEMBER 30, 2019"
Titans Of The Decade; Joshua Oigara,"DECEMBER 30, 2019"
2010 – 2019; SOUR DEALS OF THE DECADE,"DECEMBER 30, 2019"
Barclays Futures Begin Trading at The Nairobi Derivatives Market,"DECEMBER 24, 2019"
Banks main drivers of activity at NSE,"DECEMBER 20, 2019"
Mumias and Deacons’ Share Suspension Extended,"DECEMBER 19, 2019"
NSE Turnover Down as Banks Dominate Activity,"DECEMBER 19, 2019"
US Company Discards Bid for Imperial Bank Assets,"DECEMBER 18, 2019"
16/12/2019; Market Report,"DECEMBER 17, 2019"
Safaricom Shares Boost Activity at the NSE,"DECEMBER 18, 2019"
Red Cross’ Boma Hotels Placed Under Receivership,"DECEMBER 16, 2019"
Why Personal Finance is Very Personal,"DECEMBER 15, 2019"
Banking Stocks Dominate Trading at NSE,"DECEMBER 11, 2019"
Kenya’s Banking Industry Earns Favourable Rating,"NOVEMBER 29, 2019"
Francis Wabuke Appointed as Mumias Sugar Acting General Manager,"NOVEMBER 29, 2019"
Bank Stocks Dominate Trading Activity at the NSE,"NOVEMBER 29, 2019"
US Company Makes Another Bid for Imperial Bank Assets,"NOVEMBER 28, 2019"
Non-Funded Income Drives Banks’ Q3 Profits,"NOVEMBER 25, 2019"
StanChart Q3 Earnings drop slightly to KSh 6.2 billion,"NOVEMBER 21, 2019"
Household items top list of security for Bank loans,"NOVEMBER 20, 2019"
Weekly Market Report,"NOVEMBER 20, 2019"
Banks expect improved private sector growth after rate cap repeal,"NOVEMBER 20, 2019"
Banks’ Earning Season to Excite NSE Investors,"NOVEMBER 20, 2019"
Morgan Stanley Revises Frontier Markets Index,"NOVEMBER 20, 2019"
Martin Oduor-Otieno takes over as EABL Chairman,"NOVEMBER 13, 2019"
Equity Group’s Q3 Profits hit KSh 17.3 billion,"NOVEMBER 12, 2019"
Africa’s Top 200 Banks Assets Hit $1.74 Trillion,"NOVEMBER 12, 2019"
Tanzanian Bank CRDB Wins Overall Financial Reporting Awards,"NOVEMBER 12, 2019"
Banking Stocks dominate a subdued NSE,"NOVEMBER 11, 2019"
Banking Stocks’ Prices Slightly Decline as Investors Take Profits,"NOVEMBER 11, 2019"
Banks calm jitters over removal of rate caps,"NOVEMBER 7, 2019"
Kenyan Banks Ease Credit Access to SMEs,"NOVEMBER 7, 2019"
Equity Turnover Dropped to KSh 30.7 Billion in Third Quarter,"NOVEMBER 6, 2019"
National Bank Reports Q3 Profit of Sh 642.9 million,"NOVEMBER 4, 2019"
Rate Cap Removal To Benefit Kenya’s Banking Sector – Renaissance Capital,"NOVEMBER 1, 2019"
